I, [2015-01-14T21:09:34.807701 #1023]  INFO -- Kitchen: -----> Starting Kitchen (v1.2.1)
E, [2015-01-14T21:09:34.808393 #1023] ERROR -- Kitchen: ------Exception-------
E, [2015-01-14T21:09:34.808460 #1023] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2015-01-14T21:09:34.808527 #1023] ERROR -- Kitchen: Message: Kitchen YAML file /home/chef/chef-repo/cookbooks/.kitchen.yml does not exist.
E, [2015-01-14T21:09:34.808577 #1023] ERROR -- Kitchen: ------Backtrace-------
E, [2015-01-14T21:09:34.808624 #1023] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/loader/yaml.rb:74:in `read'
E, [2015-01-14T21:09:34.808671 #1023] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/config.rb:78:in `data'
E, [2015-01-14T21:09:34.808719 #1023] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/config.rb:66:in `suites'
E, [2015-01-14T21:09:34.808766 #1023] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/config.rb:90:in `filter_instances'
E, [2015-01-14T21:09:34.808813 #1023] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/config.rb:72:in `build_instances'
E, [2015-01-14T21:09:34.808861 #1023] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/config.rb:52:in `instances'
E, [2015-01-14T21:09:34.808908 #1023] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/command.rb:64:in `get_filtered_instances'
E, [2015-01-14T21:09:34.808979 #1023] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/command.rb:85:in `parse_subcommand'
E, [2015-01-14T21:09:34.809027 #1023] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/command/action.rb:37:in `block in call'
E, [2015-01-14T21:09:34.809075 #1023] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/2.1.0/benchmark.rb:279:in `measure'
E, [2015-01-14T21:09:34.809122 #1023] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/command/action.rb:36:in `call'
E, [2015-01-14T21:09:34.809170 #1023] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/cli.rb:47:in `perform'
E, [2015-01-14T21:09:34.809238 #1023] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/cli.rb:118:in `block (2 levels) in <class:CLI>'
E, [2015-01-14T21:09:34.809287 #1023] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor/command.rb:27:in `run'
E, [2015-01-14T21:09:34.809334 #1023] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor/invocation.rb:126:in `invoke_command'
E, [2015-01-14T21:09:34.809382 #1023] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/cli.rb:233:in `invoke_task'
E, [2015-01-14T21:09:34.809430 #1023] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor.rb:359:in `dispatch'
E, [2015-01-14T21:09:34.809477 #1023] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor/base.rb:440:in `start'
E, [2015-01-14T21:09:34.809524 #1023] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/bin/kitchen:13:in `block in <top (required)>'
E, [2015-01-14T21:09:34.809571 #1023] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/errors.rb:81:in `with_friendly_errors'
E, [2015-01-14T21:09:34.809618 #1023] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/bin/kitchen:13:in `<top (required)>'
E, [2015-01-14T21:09:34.809666 #1023] ERROR -- Kitchen: /opt/chefdk/bin/kitchen:10:in `load'
E, [2015-01-14T21:09:34.809712 #1023] ERROR -- Kitchen: /opt/chefdk/bin/kitchen:10:in `<main>'
E, [2015-01-14T21:09:34.809759 #1023] ERROR -- Kitchen: ----------------------
